Date,Open,High,Low,Close,Volume,Ticker
2024-10-28,5833.93,5842.92,5823.08,5823.52,3691280000,^GSPC
2024-10-29,5819.68,5847.19,5802.17,5832.92,3879100000,^GSPC
2024-10-30,5832.65,5850.94,5811.28,5813.67,3851120000,^GSPC
2024-10-31,5775.34,5775.34,5702.86,5705.45,4425660000,^GSPC
2024-11-01,5723.22,5772.52,5723.22,5728.80,3796450000,^GSPC
2024-11-04,5725.15,5741.43,5696.51,5712.69,3602060000,^GSPC
2024-11-05,5722.43,5783.44,5722.10,5782.76,3768310000,^GSPC
2024-11-06,5864.89,5936.14,5864.89,5929.04,6329530000,^GSPC
2024-11-07,5947.21,5983.84,5947.21,5973.10,4925740000,^GSPC
2024-11-08,5976.76,6012.45,5976.76,5995.54,4666740000,^GSPC
2024-11-11,6008.86,6017.31,5986.69,6001.35,4333000000,^GSPC
2024-11-12,6003.60,6009.92,5960.08,5983.99,4243400000,^GSPC
2024-11-13,5985.75,6008.19,5965.91,5985.38,4220180000,^GSPC
2024-11-14,5989.68,5993.88,5942.28,5949.17,4184570000,^GSPC
2024-11-15,5912.79,5915.32,5853.01,5870.62,4590960000,^GSPC
2024-11-18,5874.17,5908.12,5865.95,5893.62,3983860000,^GSPC
2024-11-19,5870.05,5923.51,5855.29,5916.98,4036940000,^GSPC
2024-11-20,5914.34,5920.67,5860.56,5917.11,3772620000,^GSPC
2024-11-21,5940.58,5963.32,5887.26,5948.71,4230120000,^GSPC
2024-11-22,5944.36,5972.90,5944.36,5969.34,4141420000,^GSPC
2024-11-25,5992.28,6020.75,5963.91,5987.37,5633150000,^GSPC
2024-11-26,6000.03,6025.42,5992.27,6021.63,3835170000,^GSPC
2024-11-27,6014.11,6020.16,5984.87,5998.74,3363340000,^GSPC
2024-11-29,6003.98,6044.17,6003.98,6032.38,2444420000,^GSPC
2024-12-02,6040.11,6053.58,6035.33,6047.15,4412470000,^GSPC
2024-12-03,6042.97,6052.07,6033.39,6049.88,4095000000,^GSPC
2024-12-04,6069.39,6089.84,6061.06,6086.49,4003390000,^GSPC
2024-12-05,6089.03,6094.55,6072.90,6075.11,4212020000,^GSPC
2024-12-06,6081.38,6099.97,6079.98,6090.27,3924830000,^GSPC
2024-12-09,6083.01,6088.51,6048.63,6052.85,4556460000,^GSPC
2024-12-10,6057.59,6065.40,6029.89,6034.91,4048410000,^GSPC
2024-12-11,6060.15,6092.59,6060.15,6084.19,4269950000,^GSPC
2024-12-12,6074.29,6079.68,6051.25,6051.25,3678010000,^GSPC
2024-12-13,6068.17,6078.58,6035.77,6051.09,3584960000,^GSPC
